# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  6.105750e+00    3.595391e+03
  6.116250e+00    3.617796e+03
  6.126750e+00    3.922433e+03
  6.137250e+00    4.269479e+03
  6.147750e+00    5.336872e+03
  6.158250e+00    6.188502e+03
  6.168750e+00    7.928025e+03
  6.179250e+00    9.054511e+03
  6.189750e+00    1.036908e+04
  6.200250e+00    1.155398e+04
  6.210750e+00    1.214244e+04
  6.221250e+00    1.275446e+04
  6.231750e+00    1.275508e+04
  6.242250e+00    1.301322e+04
  6.252750e+00    1.252838e+04
  6.263250e+00    1.210292e+04
  6.273750e+00    1.030904e+04
  6.284250e+00    9.234591e+03
  6.294750e+00    7.582770e+03
  6.305250e+00    6.475285e+03
  6.315750e+00    5.738386e+03
  6.326250e+00    5.831208e+03
  6.336750e+00    5.902816e+03
  6.347250e+00    7.061524e+03
  6.357750e+00    7.663024e+03
  6.368250e+00    8.713676e+03
  6.378750e+00    9.601440e+03
  6.389250e+00    9.982200e+03
  6.399750e+00    1.047416e+04
  6.410250e+00    1.065677e+04
  6.420750e+00    1.067588e+04
  6.431250e+00    1.055290e+04
  6.441750e+00    9.953014e+03
  6.452250e+00    9.127396e+03
  6.462750e+00    7.822526e+03
  6.473250e+00    6.614798e+03
  6.483750e+00    5.505407e+03
  6.494250e+00    4.504249e+03
  6.504750e+00    4.119535e+03
  6.515250e+00    4.088825e+03
  6.525750e+00    4.112928e+03
  6.536250e+00    4.456317e+03
  6.546750e+00    4.518908e+03
  6.557250e+00    4.912259e+03
  6.567750e+00    5.212671e+03
  6.578250e+00    5.101227e+03
  6.588750e+00    5.274948e+03
  6.599250e+00    5.593911e+03
  6.609750e+00    5.045323e+03
  6.620250e+00    4.745806e+03
  6.630750e+00    4.451388e+03
  6.641250e+00    4.176560e+03
  6.651750e+00    3.793475e+03
  6.662250e+00    3.564004e+03
  6.672750e+00    3.530871e+03
  6.683250e+00    3.673969e+03
  6.693750e+00    4.311792e+03
  6.704250e+00    4.799177e+03
  6.714750e+00    5.279681e+03
  6.725250e+00    5.821015e+03
  6.735750e+00    6.060605e+03
  6.746250e+00    6.630385e+03
  6.756750e+00    6.333763e+03
  6.767250e+00    6.250137e+03
  6.777750e+00    6.478865e+03
  6.788250e+00    5.864690e+03
  6.798750e+00    5.642154e+03
  6.809250e+00    5.263172e+03
  6.819750e+00    4.897017e+03
  6.830250e+00    4.627924e+03
  6.840750e+00    4.853214e+03
  6.851250e+00    5.374265e+03
  6.861750e+00    6.501259e+03
  6.872250e+00    7.391674e+03
  6.882750e+00    8.340171e+03
  6.893250e+00    9.164436e+03
  6.903750e+00    1.031076e+04
  6.914250e+00    1.036001e+04
  6.924750e+00    1.081995e+04
  6.935250e+00    1.088410e+04
  6.945750e+00    1.005016e+04
  6.956250e+00    9.474058e+03
  6.966750e+00    8.988519e+03
  6.977250e+00    7.627806e+03
  6.987750e+00    6.486318e+03
  6.998250e+00    5.374484e+03
  7.008750e+00    4.751762e+03
  7.019250e+00    4.575847e+03
  7.029750e+00    4.708225e+03
  7.040250e+00    4.850539e+03
  7.050750e+00    5.268158e+03
  7.061250e+00    5.462011e+03
  7.071750e+00    5.626634e+03
  7.082250e+00    5.779437e+03
  7.092750e+00    6.019095e+03
  7.103250e+00    5.915369e+03
  7.113750e+00    5.465547e+03
  7.124250e+00    5.280873e+03
  7.134750e+00    4.747179e+03
  7.145250e+00    3.911163e+03
  7.155750e+00    3.177396e+03
  7.166250e+00    2.706149e+03
  7.176750e+00    2.397835e+03
  7.187250e+00    2.143304e+03
  7.197750e+00    2.068413e+03
  7.208250e+00    1.939069e+03
  7.218750e+00    1.898615e+03
  7.229250e+00    1.868780e+03
  7.239750e+00    1.855462e+03
  7.250250e+00    1.849814e+03
  7.260750e+00    1.853244e+03
  7.271250e+00    1.870208e+03
  7.281750e+00    1.906493e+03
  7.292250e+00    1.970692e+03
  7.302750e+00    2.045724e+03
  7.313250e+00    2.186118e+03
  7.323750e+00    2.384312e+03
  7.334250e+00    2.647585e+03
  7.344750e+00    2.812985e+03
  7.355250e+00    3.105820e+03
  7.365750e+00    3.379328e+03
  7.376250e+00    3.531829e+03
  7.386750e+00    3.759080e+03
  7.397250e+00    3.752025e+03
  7.407750e+00    3.840900e+03
  7.418250e+00    3.823875e+03
  7.428750e+00    3.671168e+03
