File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00106.xy  00106      5.99445 0.000000000637     1.62543    10.27967     5.95938     4.68295     3.28325   153.79817     9.76064     5.93471     4.70946   100.00000   -53.79817
scan-0116_TT_00107.xy  00107      5.65786 0.000000000765     0.60863    10.35966     5.97641     4.71314     3.60415    65.43757     9.91370     5.56667     4.54299     3.92200    34.56243
scan-0116_TT_00108.xy  00108      5.69608 0.000000000377     1.63260    10.33007     5.97952     4.72613     3.43960   155.14371     9.90024     5.93014     4.77112   100.00000   -55.14371
scan-0116_TT_00109.xy  00109      5.29034 0.000000000174     3.24700    10.32064     5.97816     4.72853     2.86362   266.45518     9.86753     5.81029     4.80493   100.00000  -166.45518
scan-0116_TT_00110.xy  00110      6.17070 0.000000000424     1.42227    10.30157     5.98848     4.72657     3.55851   136.19958     9.74955     5.90039     4.74638   100.00000   -36.19958
scan-0116_TT_00111.xy  00111      5.82734 0.000000000458     1.40855    10.34771     5.97742     4.69613     3.36675   136.07601     9.82285     5.90605     4.78708   100.00000   -36.07601
scan-0116_TT_00112.xy  00112      6.17419 0.000000000466     0.82605    10.32180     5.97985     4.72815     3.73340    84.72485     9.77272     5.67889     4.70932     4.23063    15.27515
scan-0116_TT_00113.xy  00113      5.65045 0.000000005077     1.27482    10.95652     5.32863     4.67714     2.53169   125.03029     9.71539     5.89220     4.63366   100.00000   -25.03029
scan-0116_TT_00114.xy  00114      6.11070 0.000000000405     0.85025    10.34561     5.97572     4.69076     3.64756    86.28531     9.89898     5.80155     4.76668     3.79970    13.71469
scan-0116_TT_00115.xy  00115      6.23888 0.000000000457     1.51146    10.30662     5.96436     4.68786     3.56299   144.28744     9.76299     5.90725     4.74096   100.00000   -44.28744
scan-0116_TT_00116.xy  00116      6.20337 0.000000000638     0.73894    10.32947     5.98067     4.71716     3.88458    76.12633     9.87851     5.74071     4.77129     4.16222    23.87367
scan-0116_TT_00117.xy  00117      6.24480 0.000000000418     1.30195    10.33837     5.97703     4.69664     3.74697   126.45361     9.79301     5.92090     4.72256   100.00000   -26.45361
scan-0116_TT_00118.xy  00118      6.25689 0.000000000626     1.53310    10.34962     5.97976     4.72931     3.63634   146.63163     9.85270     5.90475     4.81289   100.00000   -46.63163
scan-0116_TT_00119.xy  00119      5.43436 0.000000010643     0.99157    12.84048     4.77853     5.01938     2.28431    99.30682     9.89644     5.65936     4.72109     3.89282     0.69318
scan-0116_TT_00120.xy  00120      6.20474 0.000000000492     1.59284    10.33030     5.98769     4.71531     3.68353   150.33425     9.88030     5.78411     4.80237   100.00000   -50.33425
scan-0116_TT_00121.xy  00121      6.33315 0.000000000439     0.95018    10.31621     5.97749     4.70032     3.67237    95.67994     9.91344     5.61207     4.69298     4.24090     4.32006
scan-0116_TT_00122.xy  00122      6.14559 0.000000000396     0.69487    10.34164     5.98266     4.68890     3.98210    72.16529    10.00222     5.65599     4.71166     5.23193    27.83471
scan-0116_TT_00123.xy  00123      5.45475 0.000000000419     1.96415    10.30829     5.98459     4.74741     3.11474   181.75259     9.89068     5.90675     4.80501   100.00000   -81.75259
scan-0116_TT_00124.xy  00124      6.12384 0.000000000612     1.55598    10.29947     5.97563     4.67536     3.49026   148.31867     9.80979     5.93828     4.71085   100.00000   -48.31867
scan-0116_TT_00125.xy  00125      5.34323 0.000000000594     1.47621    10.31470     5.97690     4.73665     2.97279   141.29497     9.82357     5.88263     4.78880   100.00000   -41.29497
scan-0116_TT_00126.xy  00126      6.21479 0.000000000735     0.61299    10.30688     6.03815     4.73341     3.60682    64.60279     9.71776     5.67370     4.85032     4.33829    35.39721
scan-0116_TT_00127.xy  00127      6.29032 0.000000000324     0.93435    10.33454     5.97648     4.70713     4.04538    94.08436     9.71360     5.67545     4.93622     4.63414     5.91564
scan-0116_TT_00128.xy  00128      6.17073 0.000000000457     1.40503    10.29702     5.99190     4.73728     3.64396   135.05134     9.84775     5.81421     4.80756   100.00000   -35.05134
scan-0116_TT_00129.xy  00129      6.43579 0.000000000550     0.96060    10.31887     5.98375     4.69351     3.77720    96.52834     9.91571     5.67815     4.72134     4.53333     3.47166
scan-0116_TT_00130.xy  00130      6.25351 0.000000000650     0.70088    10.31704     5.98226     4.72429     4.08690    72.74584     9.98041     5.69207     4.71299     4.37626    27.25416
scan-0116_TT_00131.xy  00131      6.20734 0.000000000519     1.34638    10.31979     5.97961     4.74256     3.87420   130.73140     9.86101     5.93087     4.78274   100.00000   -30.73140
scan-0116_TT_00132.xy  00132      6.21986 0.000000000476     1.08952    10.32226     5.97209     4.70657     3.99142   107.69907     9.81013     5.80096     4.63977   100.00000    -7.69907
scan-0116_TT_00133.xy  00133     12.10187 0.000000002640     1.29807    10.31285     5.85831     4.99193     9.60705   125.32097     9.92544     5.83415     4.79366   100.00000   -25.32097
scan-0116_TT_00134.xy  00134      5.57067 0.000000000438     2.04033    10.31934     5.97896     4.68140     3.16864   187.03223     9.92928     5.78359     4.80145   100.00000   -87.03223
